Guid,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__FilterFormula__c,SBQQ__FilterType__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Object__c,SBQQ__Operator__c,SBQQ__TestedFormula__c,SBQQ__TestedVariable__c,SBQQ__Value__c
4d9ca753-d78d-4ad5-aedd-c9d2b233b40d,b9aefe99-a9c2-489f-9209-0da9eaf89ec1,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
a7651929-c8c3-43e3-b7d0-c18d1bbb70ae,885c21a8-ef06-4ce1-8adb-c5cad773c71c,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
58ffe3b3-dc1d-4c3a-9b8d-9047dc2d7552,baa364d4-6f37-430a-a6a3-e35fbfe479e7,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
4eb394e4-21f4-4d6d-acc9-1884534179d1,23fba5ec-15ad-4667-afdc-1fc42e291eab,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
484cef3b-5d0f-4b57-8f50-93588fcb2704,b644a1dd-8c4e-4829-b6f7-1d9584340cc9,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
1e9736d2-b112-4ea1-9047-b417c615ccc7,4b960207-1fb6-4f91-b578-d2d6aa6e5bd7,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
3602abef-0ee5-4046-97df-cb450d36b21b,15c8e6d6-a09a-47c9-8fe1-9041df3dfd98,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
713e1ca6-3e99-4407-a8cc-d5e10b3812b6,429c4299-2a3f-46b9-aefd-8065125795e5,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
4bf6b1ba-d5e6-46d5-9a73-15f3a6b101b0,15c8e6d6-a09a-47c9-8fe1-9041df3dfd98,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
61e24bc5-57b4-4721-a0cb-9553c9fa71b9,56fb64c8-d261-425e-8275-313cc25048cf,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
e4137764-a9ad-4175-a215-9edf543bf29b,03e7eb79-2a04-40bf-bc5b-4896e876296e,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
c3e48ad7-cbeb-47c0-95fd-b8fd3498b1c9,a39f7ce0-bf8b-406b-99f9-823cb1b76dc5,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
0a158382-3ff5-4dbe-8af4-b38c17930eaf,4b960207-1fb6-4f91-b578-d2d6aa6e5bd7,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,EP-025
2a518291-d4d6-4f78-8122-930dc1d7a3b1,4aefc026-514f-4f7b-87ee-0746c7e41b95,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
a0b881f5-d6cc-4437-b358-ae0cad4df152,8fc15978-32fa-4c09-b6fb-b28e4172606e,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
c603e665-9f57-413a-90a9-2c063f8dc242,885c21a8-ef06-4ce1-8adb-c5cad773c71c,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
de99698b-ccdf-4292-8103-eef2caa12b1a,d2af865d-3b7b-45a3-8b12-f8e69a78a1a8,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
80c7384f-1114-4cea-ba8d-c7fae2c63da3,429c4299-2a3f-46b9-aefd-8065125795e5,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
90659fab-5a9c-4c87-99fa-e8e0209ab68d,1718636a-8496-4cca-acfc-76ea5c8aa175,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
5e58d345-459d-4065-9e22-5b93761c34fe,be1394c8-62c4-4915-9fc7-46839cbbaeaf,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
21b65038-31c5-4ada-85f9-bc7ac6ae5b72,dc18dc25-81f0-4dca-8f36-476af09887e2,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
cc2e2ddb-8b46-4120-b19f-a89ecbe35a0b,5f87a850-7863-4cc0-af65-dc7f690ceb2a,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
a1ce7ba3-5af1-4b78-b50a-554f0d307d9e,d2af865d-3b7b-45a3-8b12-f8e69a78a1a8,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
b41ab7b2-41a2-4672-96d9-0629bf315f70,c9e3e345-b2e8-4cbc-818e-1311a7f0bcfb,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
5c5c4b94-b47f-4871-9975-9186c1346247,063d1e4c-31f2-41f5-84df-9ac1a13571b9,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
fb21dd99-c8ff-43d4-b999-1de88e35f1bd,429c4299-2a3f-46b9-aefd-8065125795e5,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
07d07e91-4821-4ec3-9f18-fff89ec6e3a9,fc42a143-0a43-4f73-90d2-47ae333a8fac,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
f4a120fc-f9d9-41f4-9e68-f117149c3a30,7018a120-8e5d-44e6-852a-56396ba2e9fd,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,EP-025
d2ddb083-0942-486b-bb5c-b013f2795822,d8f35116-9536-4ddb-a83b-c80f47683714,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
5bd192a6-2a53-4fb4-a002-dd9e6038ca77,8fc15978-32fa-4c09-b6fb-b28e4172606e,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
0f3c177b-31f6-475f-bcb6-252293503ab3,15c8e6d6-a09a-47c9-8fe1-9041df3dfd98,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
75ca592d-517c-4e21-beee-463f1fba4755,15c8e6d6-a09a-47c9-8fe1-9041df3dfd98,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
cdcf4c4d-f4b7-4865-a5dc-4134b2e7c3d0,a8ce3d75-4e1c-4d49-9809-3cce7e9a08d9,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,Run-on-all-quotelines
b7af2f70-9bf1-4f0c-9011-e04b6c801312,baa364d4-6f37-430a-a6a3-e35fbfe479e7,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
0c6b57c3-4b86-4959-aa98-5f0161c83a3d,448bfdbe-592a-49e6-95fa-9dda1f83132d,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
069481e0-49f8-4e5e-ba92-2a412291ba0b,1c09ee76-392d-454c-a098-9dc5638396d0,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
3bda3dfb-78cd-40a4-95ed-c0cbde2471bf,b0cdcfbb-75ac-4391-8cda-23190522bcf1,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
ed95eb38-1c59-4bac-83b7-76af8058ef40,2a26567f-326f-4311-8f87-24c2b4aefef0,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
bd9aa166-d231-436c-8766-235af4f88039,7018a120-8e5d-44e6-852a-56396ba2e9fd,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
2663d62e-44f4-4f11-9cf8-659d90003fdc,baa364d4-6f37-430a-a6a3-e35fbfe479e7,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,EP-025
1afefc9d-a50a-40c3-9fc9-485f38064b16,d6f06237-06d6-41b6-8e74-56831796435b,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,Run-on-all-quotelines
1e199960-0b19-454c-a72b-b72b2a791c17,80feb5d5-2b57-4b66-8faf-0b7097723fd9,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
4177af89-ba44-45bb-97dc-d36891853abf,4b960207-1fb6-4f91-b578-d2d6aa6e5bd7,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
a8419ea2-ac60-46fe-9f87-30666f8eb19b,b9aefe99-a9c2-489f-9209-0da9eaf89ec1,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
32805d17-ab5f-4039-9cbf-7618454e3e6c,e0d5bca6-03da-49be-a1a6-66a9f6cd7409,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,starts with,#N/A,#N/A,SRV
1feea3e6-4c42-4256-9fac-6449634e07b3,1c09ee76-392d-454c-a098-9dc5638396d0,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
044a3ec8-1af7-4fd1-bd8c-81a879df6a9f,6f35e2d9-5a9b-4075-83c3-69e9a04138e3,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
06461ba0-c59d-47c1-a635-a7cf293eb110,f81cf914-0941-4995-b220-d6cb6d787424,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
3f9bfcb6-61cc-4ec7-9c2d-c8afa4b01ad5,13a95dfc-d6ab-493a-9d27-01619a86531f,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
7ea3bbbc-250e-49c4-9148-9da0794150c2,bfdbeb3b-e7a5-4931-95b5-2571f3e88317,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
1cc37157-cf80-4b51-8740-d4b51baaf48b,d2af865d-3b7b-45a3-8b12-f8e69a78a1a8,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
b092c7ca-bf70-4f83-8f1a-cc96cedfee62,a2ac9be9-0ef4-4d74-bc44-b796cfe62ceb,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
fe57db2f-bd98-46d8-a42a-57e9e9bd0197,4b960207-1fb6-4f91-b578-d2d6aa6e5bd7,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
e4c87469-cda2-42b9-baf1-b7336a2fbcc1,7018a120-8e5d-44e6-852a-56396ba2e9fd,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
aee8700a-5592-42ba-bb20-95b14cf9b315,1504e89d-b956-44e8-bbb1-ce622254c8f7,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
36ecadda-fb2e-4c71-a604-7353afe9cf15,67b7d2bb-d43a-4b87-9674-0f69b2f90c9d,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
ca1bb316-1f70-4408-8667-bac190e1f7f7,517ad32a-a4ba-422b-a0ef-3ddb2547fd77,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
d6cc61f1-33d5-4742-a806-c814ef741def,7236d4c1-763b-4e69-9c81-c604c926b9c4,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,Run-on-all-quotelines
50540a11-81c1-4697-82b0-f8cb5276adfd,429c4299-2a3f-46b9-aefd-8065125795e5,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
1d468fdd-8fa6-4ed7-b469-d17cd4271cab,c3a4307f-7791-4a44-9cf3-8b174e669de4,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
c60f3db3-2d4d-45f7-a829-534a7526f5fe,e94e35a4-5d7d-4990-aa6c-13cb9e9f70b8,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
f651beac-e1fc-4be3-8168-21c424ee0eda,c9e3e345-b2e8-4cbc-818e-1311a7f0bcfb,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
2b19509b-6c92-403d-8cd3-f92cee2b40da,8ee537a7-ef01-494c-a7ce-7e41484ac90e,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
