Guid,Name,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__ProductRule__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
9064795f-cf42-41f6-9b0d-e6caf7a5f36c,34,Threshold_Type__c,Static Value,equals,false,27c8740f-f6b8-45bf-9340-44989be5c83f,#N/A,Approval_Threshold__c,true,#N/A,#N/A,Discount
1733a29f-cdc1-4138-9814-ecd5fc04eeb5,35,Approval_Level__c,Static Value,equals,false,6cb97072-e533-4b92-b639-e410462e3639,#N/A,Approval_Threshold__c,true,#N/A,#N/A,1
ef98ea00-a913-4bdb-b2e2-e94c06d27229,36,Role__c,Field Value,equals,false,341d60d1-5365-4fcb-a356-a52b2b38e157,#N/A,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
62c6a50d-9aa0-49e1-8c01-83270c997901,37,Approval_Level__c,Static Value,equals,false,69f313b8-d6c2-4f04-9c56-e5bdd531d10c,#N/A,Approval_Threshold__c,true,#N/A,#N/A,3
74d5a8b8-c9ef-47ce-bda6-f71626fdcde0,38,Product__c,Field Value,equals,false,887e7aef-a0d5-4616-a6a5-2fee3fbfd6d0,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
9223f826-dfc6-4272-a86f-986e75a8620f,39,Product__c,Field Value,equals,false,3b272faf-ed20-413e-ac04-7ae07897ebf3,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
c754eb87-69be-474b-b222-1b16bbcf0a3e,40,Approval_Level__c,Static Value,equals,false,ec1b0e8a-a3a7-442a-9735-8e5e7096e486,#N/A,Approval_Threshold__c,true,#N/A,#N/A,2
5c908c1f-9df6-4cc4-a4e1-4b86087a5d14,41,Threshold_Type__c,Static Value,equals,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,#N/A,Approval_Threshold__c,true,#N/A,#N/A,Discount
4413b98c-2a9b-4b5a-9404-3bb954b94763,42,Upper_Bound_Percent__c,Field Value,less than,false,808b5fa3-de52-4491-863f-0275290e7330,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
1123a827-f453-4351-9f69-c47906f1d85d,43,Product__c,Field Value,equals,false,f179679d-0dd2-47d5-b9fd-63a8c18aae33,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
caf4afea-feef-437f-bb75-fce9d5c8a96b,44,Resource_Location__c,Field Value,equals,false,d5a0d090-8751-40fd-8a63-13af320d4f17,#N/A,Professional_Services_Rate__c,true,Resource_Location__c,Quote Line,#N/A
6614c927-3ef2-4251-bc9b-6f06be4ac7f3,45,Product__c,Field Value,equals,false,3413fe6b-36a1-461d-8c43-bf305fe68d3c,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
eba4d79c-e020-42fe-8132-6cc0c411c36b,46,Threshold_Type__c,Static Value,equals,false,6fe97c32-7928-4c45-ae8a-158c621d9b14,#N/A,Approval_Threshold__c,true,#N/A,#N/A,Discount
3a4cc6f2-b328-4cc7-afbc-72565f31cf50,47,Product__c,Field Value,equals,false,6cb97072-e533-4b92-b639-e410462e3639,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
b5430788-768a-4348-9de4-d16890a4d367,48,Product__c,Field Value,equals,false,808b5fa3-de52-4491-863f-0275290e7330,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
8975864f-b736-47dd-a4ab-c5e752b5cecf,49,Product__c,Field Value,equals,false,c71d095b-3473-4d5f-b3b0-62735f85ca51,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
ed67fdc8-55cf-469f-b0b7-d22abe1a7402,50,Engineering_Options__c,Field Value,equals,false,5a6f0ffa-c44f-4c1a-b33c-de3816b8328d,#N/A,Professional_Services_Rate__c,true,Engineering_Options__c,Quote Line,#N/A
912cf13e-4bd8-4f19-951c-8aca18eec0bf,51,Approval_Level__c,Static Value,equals,false,3b272faf-ed20-413e-ac04-7ae07897ebf3,#N/A,Approval_Threshold__c,true,#N/A,#N/A,2
